Rk,Player,FGA,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
82,Andre Drummond,11.7,2014-15,21,DET,82,82,0,30.5,6,11.7,6,11.7,0,0,1.7,4.5,5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8,0.514,0.515,0,0.389,0.504,0.514,C
83,Lou Williams,11.6,2014-15,28,TOR,80,0,0,25.2,4.7,11.6,2.8,6,1.9,5.6,4.3,4.9,0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3,15.5,0.404,0.464,0.34,0.861,0.564,0.486,G
84,Eric Gordon,11.4,2014-15,26,NOP,61,60,0,33.1,4.7,11.4,2.4,6.2,2.3,5.2,1.8,2.2,0.5,2.1,2.6,3.8,0.8,0.2,2,2.4,13.4,0.411,0.38,0.448,0.805,0.544,0.512,G-F
85,Langston Galloway,11.4,2014-15,23,NYK,45,41,0,32.4,4.5,11.4,3.2,7.4,1.4,3.9,1.4,1.7,0.8,3.4,4.2,3.3,1.2,0.3,1.4,2.9,11.8,0.399,0.424,0.352,0.808,0.489,0.46,G
86,Deron Williams,11.3,2014-15,30,BRK,68,55,0,31.1,4.4,11.3,3.1,7.9,1.3,3.5,3,3.5,0.4,3.1,3.5,6.6,0.9,0.3,2.3,2.3,13,0.387,0.395,0.367,0.834,0.504,0.443,G
87,Arron Afflalo,11.3,2014-15,29,"DEN,POR",78,72,0,32.1,4.8,11.3,3.3,7.1,1.5,4.3,2.1,2.5,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,0.424,0.466,0.354,0.843,0.533,0.491,G-F
88,Nick Young,11.3,2014-15,29,LAL,42,0,0,23.8,4.1,11.3,2.2,6,2,5.4,3.1,3.5,0.4,1.9,2.3,1,0.5,0.3,1,2,13.4,0.366,0.363,0.369,0.892,0.52,0.453,G-F
89,Alec Burks,11.1,2014-15,23,UTA,27,27,0,33.3,4.5,11.1,3.5,8.6,1,2.5,3.9,4.8,0.7,3.5,4.2,3,0.6,0.2,1.9,2.4,13.9,0.403,0.409,0.382,0.822,0.524,0.447,G
90,Jordan Hill,11.1,2014-15,27,LAL,70,57,0,26.8,5.1,11.1,5.1,10.9,0,0.2,1.8,2.4,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12,0.459,0.462,0.273,0.738,0.494,0.461,C-F
91,Trevor Ariza,11.1,2014-15,29,HOU,82,82,0,35.7,4.5,11.1,2.1,4.3,2.4,6.8,1.5,1.7,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8,0.402,0.485,0.35,0.853,0.539,0.509,F
92,Khris Middleton,11,2014-15,23,MIL,79,58,0,30.1,5.1,11,3.8,7.6,1.4,3.4,1.7,2,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4,0.467,0.494,0.407,0.859,0.563,0.53,F-G
93,Luol Deng,10.9,2014-15,29,MIA,72,72,0,33.6,5.1,10.9,4,7.9,1.1,3.1,2.7,3.5,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14,0.469,0.513,0.355,0.761,0.561,0.518,F
94,Robert Covington,10.8,2014-15,24,PHI,70,49,0,27.9,4.3,10.8,1.9,4.4,2.4,6.4,2.5,3.1,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5,0.396,0.426,0.374,0.82,0.554,0.506,F-C
95,J.R. Smith,10.8,2014-15,29,"CLE,NYK",70,51,0,29.7,4.5,10.8,2.2,4.7,2.3,6.1,0.8,1,0.4,2.7,3.1,2.8,1.2,0.3,1.4,2.3,12.1,0.417,0.462,0.383,0.75,0.538,0.525,G-F
96,Tim Duncan,10.6,2014-15,38,SAS,77,77,1,28.9,5.4,10.6,5.4,10.5,0,0.1,3,4,2.2,6.9,9.1,3,0.8,2,1.7,2.1,13.9,0.512,0.514,0.286,0.74,0.56,0.513,F-C
97,Rodney Stuckey,10.6,2014-15,28,IND,71,36,0,26.4,4.7,10.6,3.9,8.6,0.8,2,2.5,3,0.5,3,3.5,3.1,0.8,0.1,1.7,1.8,12.6,0.44,0.452,0.39,0.819,0.528,0.477,G
98,Gerald Henderson,10.6,2014-15,27,CHO,80,72,0,28.9,4.6,10.6,4.1,8.9,0.6,1.7,2.3,2.7,0.5,3,3.4,2.6,0.6,0.3,1.4,1.7,12.1,0.437,0.457,0.331,0.848,0.514,0.463,G
99,Nikola Pekovi?,10.6,2014-15,29,MIN,31,29,0,26.3,4.5,10.6,4.5,10.6,0,0,3.5,4.2,2.9,4.7,7.5,0.9,0.6,0.4,1.4,1.9,12.5,0.424,0.424,,0.837,0.502,0.424,C
100,Jabari Parker,10.5,2014-15,19,MIL,25,25,0,29.5,5.2,10.5,5,9.9,0.2,0.6,1.8,2.6,2,3.5,5.5,1.7,1.2,0.2,1.9,1.7,12.3,0.49,0.506,0.25,0.697,0.527,0.498,F
101,Gerald Green,10.5,2014-15,29,PHO,74,4,0,19.5,4.4,10.5,2.5,5.3,1.9,5.2,1.3,1.6,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2,11.9,0.416,0.478,0.354,0.825,0.532,0.504,G-F
102,Carlos Boozer,10.5,2014-15,33,LAL,71,26,0,23.8,5.2,10.5,5.2,10.5,0,0,1.3,2.1,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8,0.499,0.499,,0.627,0.517,0.499,F-C
103,Shabazz Muhammad,10.4,2014-15,22,MIN,38,13,0,22.8,5.1,10.4,4.6,9.1,0.5,1.3,2.7,3.8,1.7,2.4,4.1,1.2,0.5,0.2,0.9,1.3,13.5,0.489,0.503,0.392,0.717,0.556,0.514,F-G
104,David West,10.4,2014-15,34,IND,66,66,0,28.7,4.9,10.4,4.8,10.1,0.1,0.3,1.8,2.4,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7,0.471,0.479,0.2,0.739,0.508,0.474,F-C
105,Dwight Howard,10.3,2014-15,29,HOU,41,41,0,29.8,6.1,10.3,6.1,10.3,0,0,3.5,6.6,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8,0.593,0.594,0.5,0.528,0.596,0.595,C
